clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א׳,א׳,20,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,23,0,60,,,,,,unresolved,No lexical entry yet.
א״ב,א״ב,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ז,א״ז,3,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,21,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,26,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,10,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,37,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,45,0,60,,,,,,unresolved,No lexical entry yet.
אאריך,אאריכ,3,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא,אבא,2,0,60,,,,,,unresolved,No lexical entry yet.
אבאר,אבאר,37,0,60,,,,,,unresolved,No lexical entry yet.
אבד,אבד,2,0,60,,,,,,unresolved,No lexical entry yet.
אבדה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבדה״ב,אבדה״ב,1,0,60,,,,,,unresolved,No lexical entry yet.
אבהמה,אבהמה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבותיו,אבותיו,3,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אבטיח,אבטיח,1,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,5,0,60,,,,,,unresolved,No lexical entry yet.
אבילות,אבילות,3,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,209,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבני,אבני,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבניו,אבניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבנים,אבנימ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבנין,אבנינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבע״מ,אבע״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבעיא,אבעיא,1,0,60,,,,,,unresolved,No lexical entry yet.
אבר,אבר,16,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברים,אברימ,3,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אגב,אגב,4,0,60,,,,,,unresolved,No lexical entry yet.
אגודות,אגודות,1,0,60,,,,,,unresolved,No lexical entry yet.
אגר,אגר,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרה,אגרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגרוף,אגרופ,2,0,60,,,,,,unresolved,No lexical entry yet.
אדומה,אדומה,4,93,60,claim-91ed238e2d3c7cee,red,Wikidata Lexeme,L63672,CC0,safe_claims_min60,
אדם,אדמ,26,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמה,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמיה,אדמיה,2,0,60,,,,,,unresolved,No lexical entry yet.
אדמתך,אדמתכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אדעתא,אדעתא,6,0,60,,,,,,unresolved,No lexical entry yet.
אדרבה,אדרבה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבי,אדרבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אה״מ,אה״מ,2,0,60,,,,,,unresolved,No lexical entry yet.
אהא,אהא,1,0,60,,,,,,unresolved,No lexical entry yet.
אהאומר,אהאומר,1,0,60,,,,,,unresolved,No lexical entry yet.
אהדדי,אהדדי,4,0,60,,,,,,unresolved,No lexical entry yet.
אהך,אהכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אהל,אהל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אהלות,אהלות,1,0,60,,,,,,unresolved,No lexical entry yet.
אהני,אהני,4,0,60,,,,,,unresolved,No lexical entry yet.
אהרן,אהרנ,3,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
או,או,262,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוכל,אוכל,6,0,60,,,,,,unresolved,No lexical entry yet.
אוכלי,אוכלי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוכלין,אוכלינ,4,0,60,,,,,,unresolved,No lexical entry yet.
אוכלת,אוכלת,3,0,60,,,,,,unresolved,No lexical entry yet.
אומד,אומד,17,0,60,,,,,,unresolved,No lexical entry yet.
אומדא,אומדא,1,0,60,,,,,,unresolved,No lexical entry yet.
אומדין,אומדינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אומדנא,אומדנא,8,0,60,,,,,,unresolved,No lexical entry yet.
אומנות,אומנות,1,0,60,,,,,,unresolved,No lexical entry yet.
אומנין,אומנינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אומרים,אומרימ,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אומרת,אומרת,2,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אונאה,אונאה,1,0,60,,,,,,unresolved,No lexical entry yet.
אונאת,אונאת,1,0,60,,,,,,unresolved,No lexical entry yet.
אונו,אונו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוסר,אוסר,1,0,60,,,,,,unresolved,No lexical entry yet.
אופן,אופנ,1,93,60,claim-29e2fcfb64f78b5d,round frame used in transportation; wheel,Wikidata Lexeme,L63792,CC0,safe_claims_min60,
אופרא,אופרא,1,0,60,,,,,,unresolved,No lexical entry yet.
אוצר,אוצר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוצרות,אוצרות,1,93,60,claim-62b9562cfb395311,"treasure, concentration of riches | treasure",Wikidata Lexeme,L63806,CC0,safe_claims_min60,
אוקמה,אוקמה,2,0,60,,,,,,unresolved,No lexical entry yet.
אורח,אורח,2,93,60,claim-e4913294e9dcac47,"guest, someone who is offered hospitability | guest",Wikidata Lexeme,L63819,CC0,safe_claims_min60,
אותה,אותה,18,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,52,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותם,אותמ,11,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אז,אז,186,95,60,claim-aad159f600b554ee,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures morphHB,H227,CC BY 4.0,safe_claims_min60,
אזהרה,אזהרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אזיל,אזיל,4,0,60,,,,,,unresolved,No lexical entry yet.
אזלא,אזלא,1,0,60,,,,,,unresolved,No lexical entry yet.
אזלי,אזלי,3,0,60,,,,,,unresolved,No lexical entry yet.
אזלינן,אזליננ,29,0,60,,,,,,unresolved,No lexical entry yet.
אח״כ,אח״כ,33,99,60,claim-77811186ebaad6ad,afterward | after that,Project-authored abbreviation table,project-abbreviation:achar-kach,project-authored / CC0,safe_claims_min60,
אח״מ,אח״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,41,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחוזה,אחוזה,42,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחוזת,אחוזת,1,0,60,,,,,,unresolved,No lexical entry yet.
אחוזתו,אחוזתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחומש,אחומש,4,0,60,,,,,,unresolved,No lexical entry yet.
אחוריו,אחוריו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחיו,אחיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אחיוב,אחיוב,1,0,60,,,,,,unresolved,No lexical entry yet.
אחר,אחר,80,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחרון,אחרונ,1,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אחרונה,אחרונה,2,0,60,,,,,,unresolved,No lexical entry yet.
אחרי,אחרי,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
