clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אביה,אביה,5,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
או,או,2,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אומר,אומר,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אונס,אונס,3,0,60,,,,,,unresolved,No lexical entry yet.
אותה,אותה,2,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אזהרות,אזהרות,1,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחר,אחר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
איברים,איברימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,1,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אינה,אינה,1,0,60,,,,,,unresolved,No lexical entry yet.
אינו,אינו,1,0,60,,,,,,unresolved,No lexical entry yet.
איסורי,איסורי,1,0,60,,,,,,unresolved,No lexical entry yet.
איש,איש,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אל,אל,1,99,60,claim-691ab973c96a9d26,"to | toward | do not / not, when vocalization or context supports אַל",Project-authored function word table,project-function-word:el,project-authored / CC0,safe_claims_min60,
אלא,אלא,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אלו,אלו,1,93,60,claim-9f62584c83e09ff3,this/that | demonstrative pronoun,Wikidata Lexeme,L492094,CC0,safe_claims_min60,
אלמא,אלמא,1,0,60,,,,,,unresolved,No lexical entry yet.
אלפס,אלפס,1,0,60,,,,,,unresolved,No lexical entry yet.
אם,אמ,5,99,60,claim-1bc657aa7254fe12,if | whether,Project-authored function word table,project-function-word:im,project-authored / CC0,safe_claims_min60,
אמן,אמנ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמר,אמר,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אמרו,אמרו,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אני,אני,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אסורה,אסורה,3,0,60,,,,,,unresolved,No lexical entry yet.
אסרה,אסרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אפילו,אפילו,2,0,60,,,,,,unresolved,No lexical entry yet.
ארוס,ארוס,1,0,60,,,,,,unresolved,No lexical entry yet.
ארוסה,ארוסה,13,0,60,,,,,,unresolved,No lexical entry yet.
ארוסתו,ארוסתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אשה,אשה,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אשי,אשי,1,0,60,,,,,,unresolved,No lexical entry yet.
אשם,אשמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אשת,אשת,1,93,60,claim-d7f222a40fc17940,"woman, female adult human | woman",Wikidata Lexeme,L63925,CC0,safe_claims_min60,
אשתו,אשתו,2,0,60,,,,,,unresolved,No lexical entry yet.
את,את,7,99,60,claim-2993a3e12ef702c9,direct-object marker | with,Project-authored function word table,project-function-word:et,project-authored / CC0,safe_claims_min60,
ב׳,ב׳,1,0,60,,,,,,unresolved,No lexical entry yet.
ב״ש,ב״ש,3,0,60,,,,,,unresolved,No lexical entry yet.
בא,בא,3,95,60,claim-1f60409dec56770f,to go | come (in a wide variety of applications) | abide | apply | attain | × be | befall | besiege,OpenScriptures morphHB,H935,CC BY 4.0,safe_claims_min60,
באדר,באדר,1,0,60,,,,,,unresolved,No lexical entry yet.
באו,באו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
באונס,באונס,1,0,60,,,,,,unresolved,No lexical entry yet.
באפשר,באפשר,1,0,60,,,,,,unresolved,No lexical entry yet.
