clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,19,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,6,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,1,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
אַאֲשִׁים,אאשימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָב,אב,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָאֵר,אבאר,3,0,60,,,,,,unresolved,No lexical entry yet.
אֹבֵד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבְדוּ,אבדו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֵדַת,אבדת,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוש,אבוש,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵבוֹשׁ,אבוש,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבוֹת,אבות,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבותינו,אבותינו,3,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתָם,אבותמ,1,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֶבְטַח,אבטח,1,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אביון,אביונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךָ,אביכ,3,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָל,אבל,18,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵבָר,אבר,1,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברח,אברח,1,0,60,,,,,,unresolved,No lexical entry yet.
אברחה,אברחה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְרֵי,אברי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵבָרֵינוּ,אברינו,4,0,60,,,,,,unresolved,No lexical entry yet.
אברכך,אברככ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַגְמְרֵהּ,אגמרה,1,0,60,,,,,,unresolved,No lexical entry yet.
אדון,אדונ,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוניהם,אדוניהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוניו,אדוניו,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲדוֹנָיו,אדוניו,2,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדָם,אדמ,44,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדמת,אדמת,1,93,60,claim-91ed238e2d3c7cee,red,Wikidata Lexeme,L63672,CC0,safe_claims_min60,
אדמתו,אדמתו,1,95,60,claim-1aaccc87e3f6a072,soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land.,OpenScriptures morphHB,H127,CC BY 4.0,safe_claims_min60,
אֲדֹנָי,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנָיו,אדניו,2,0,60,,,,,,unresolved,No lexical entry yet.
אַדַּרְתּוֹ,אדרתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָה,אה,1,95,60,claim-1571a3ecc0a45fe9,fourth.,OpenScriptures morphHB,H7244,CC BY 4.0,safe_claims_min60,
אֹהֵב,אהב,2,0,60,,,,,,unresolved,No lexical entry yet.
אַהֲבָה,אהבה,2,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אהבת,אהבת,1,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אַהֲבַת,אהבת,14,93,60,claim-200422ea19d0d14f,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,safe_claims_min60,
אַהֲבָתוֹ,אהבתו,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
או,או,1,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוֹ,או,32,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוֹבֵד,אובד,1,93,60,claim-48b0f3081c6ae188,to be lost,Wikidata Lexeme,L184910,CC0,safe_claims_min60,
אודה,אודה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹדֶה,אודה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹדוֹתָיו,אודותיו,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֲבֵי,אוהבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֲבָיו,אוהביו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹחֵז,אוחז,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹיְבוֹ,אויבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אויל,אויל,1,0,60,,,,,,unresolved,No lexical entry yet.
אוּכַל,אוכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אולי,אולי,6,0,60,,,,,,unresolved,No lexical entry yet.
אִוַּלְתּוֹ,אולתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹמֵר,אומר,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמַר,אומר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמְרִים,אומרימ,1,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
און,אונ,4,93,60,claim-7072d56cfed376a5,"power, ability, strength",Wikidata Lexeme,L63777,CC0,safe_claims_min60,
אָוֶן,אונ,1,93,60,claim-7072d56cfed376a5,"power, ability, strength",Wikidata Lexeme,L63777,CC0,safe_claims_min60,
אוסיף,אוסיפ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹסִיף,אוסיפ,1,0,60,,,,,,unresolved,No lexical entry yet.
אור,אור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹר,אור,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אות,אות,1,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אוֹת,אות,1,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אוֹתָהּ,אותה,6,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתוֹ,אותו,35,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתוֹת,אותות,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹתוֹתֶיהָ,אותותיה,2,77,60,claim-5b452dcb653c27bd,"her a sign, an omen | its a sign, an omen | her a signal, a cue | its a signal, a cue",Wiktionary via Kaikki,kaikki-1cdf71a807db,CC BY-SA 4.0 / GFDL,safe_claims_min60,
אותי,אותי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתִי,אותי,4,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתְךָ,אותכ,2,0,60,,,,,,unresolved,No lexical entry yet.
