clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
אַאֲמִיר,אאמיר,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבַדּוֹן,אבדונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוּקָה,אבוקה,1,93,60,claim-39e19ce90d2549e0,"torch, stick with a flaming end used as a source of light | torch",Wikidata Lexeme,L63618,CC0,safe_claims_min60,
אֲבוֹתֵיהֶם,אבותיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְזֶה,אבזה,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבְחִינָה,אבחינה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְחָרֵהוּ,אבחרהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְטַח,אבטח,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיהָ,אביה,3,0,60,,,,,,unresolved,No lexical entry yet.
אָבִין,אבינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִינָה,אבינה,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבִּירֵי,אבירי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָל,אבל,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַבְנֵי,אבני,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָנֶיךָ,אבניכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָנִים,אבנימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדוֹן,אדונ,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אֲדוֹנֶיהָ,אדוניה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדוֹנָיו,אדוניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָדָם,אדמ,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדָמָה,אדמה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶדַּמֶּה,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַדְמָתוֹ,אדמתו,1,95,60,claim-1aaccc87e3f6a072,soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land.,OpenScriptures morphHB,H127,CC BY 4.0,safe_claims_min60,
אַדְמָתִי,אדמתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנִי,אדני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵדַע,אדע,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵדְעָה,אדעה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶדְרוֹשׁ,אדרוש,1,0,60,,,,,,unresolved,No lexical entry yet.
אָהֵב,אהב,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲהָבִים,אהבימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָהֳלָהּ,אהלה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹהָלֶיהָ,אהליה,1,0,60,,,,,,unresolved,No lexical entry yet.
אָהֳלֵיהֶם,אהליהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹהָלִים,אהלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹ,או,29,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוֹבְדִים,אובדימ,1,93,60,claim-48b0f3081c6ae188,to be lost,Wikidata Lexeme,L184910,CC0,safe_claims_min60,
אוֹדוֹתֶיהָ,אודותיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֵב,אוהב,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֲבֵי,אוהבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֲבָיו,אוהביו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֶבֶת,אוהבת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹחֲזָה,אוחזה,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹי,אוי,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוּכַל,אוכל,2,0,60,,,,,,unresolved,No lexical entry yet.
אוּכָל,אוכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹכֶלֶת,אוכלת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוּלָם,אולמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹמַר,אומר,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹנִים,אונימ,1,93,60,claim-7072d56cfed376a5,"power, ability, strength",Wikidata Lexeme,L63777,CC0,safe_claims_min60,
אוֹפִיר,אופיר,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹצִיא,אוציא,1,0,60,,,,,,unresolved,No lexical entry yet.
אִוָּצֵר,אוצר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹצְרוֹת,אוצרות,3,93,60,claim-62b9562cfb395311,"treasure, concentration of riches | treasure",Wikidata Lexeme,L63806,CC0,safe_claims_min60,
אוֹר,אור,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרְבֵי,אורבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹרָה,אורה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרוֹ,אורו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרְחִים,אורחימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹשִׁיעֲכֶם,אושיעכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתָהּ,אותה,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתְהֶן,אותהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתוֹ,אותו,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתִי,אותי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתְךָ,אותכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אָז,אז,4,95,60,claim-3a7cfa21ffd7ed55,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures HebrewLexicon,H227,CC BY 4.0,safe_claims_min60,
אִזּוּנָם,אזונמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָזְלַת,אזלת,1,0,60,,,,,,unresolved,No lexical entry yet.
אָזְנַי,אזני,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶזְעַק,אזעק,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחַבֵּר,אחבר,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָד,אחד,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲדוּת,אחדות,1,93,60,claim-5028a8be67b0c3b8,unity,Wikidata Lexeme,L63841,CC0,safe_claims_min60,
אָחוּז,אחוז,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲחוֹרַנִּית,אחורנית,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֻזָּתִי,אחזתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחֱטָא,אחטא,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחַי,אחי,2,0,60,,,,,,unresolved,No lexical entry yet.
אֶחְיֶה,אחיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲלִיק,אחליק,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחְמֹד,אחמד,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחַר,אחר,10,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶחֱרַד,אחרד,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרוֹן,אחרונ,1,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אֲחֵרוֹת,אחרות,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֵי,אחרי,15,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרַי,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרָי,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֶיהָ,אחריה,1,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אַחֲרָיו,אחריו,2,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אַחֲרַיִךְ,אחריכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרִית,אחרית,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרִיתָהּ,אחריתה,2,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרִיתָם,אחריתמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֶחֱשׁוֹב,אחשוב,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָת,אחת,1,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אַחַת,אחת,3,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אִי,אי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵי,אי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵיךְ,איכ,11,95,60,claim-758b2b3e46af1ba2,how? | how! | also where | how | what.,OpenScriptures morphHB,H349,CC BY 4.0,safe_claims_min60,
אֵיכָה,איכה,2,0,60,,,,,,unresolved,No lexical entry yet.
אֵיכוּת,איכות,1,93,60,claim-7b11eadeb5e0289c,quality,Wikidata Lexeme,L63885,CC0,safe_claims_min60,
אֱיָל,איל,1,0,60,,,,,,unresolved,No lexical entry yet.
אַיָּלוֹת,אילות,1,0,60,,,,,,unresolved,No lexical entry yet.
אַיֶּלֶת,אילת,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵין,אינ,18,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אָיִן,אינ,1,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵינְךָ,אינכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵינֶנּוּ,איננו,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִיעָצְךָ,איעצכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵיפֹה,איפה,1,0,60,,,,,,unresolved,No lexical entry yet.
