clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,29,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַ,א,1,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,28,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,4,0,60,,,,,,unresolved,No lexical entry yet.
אַב,אב,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָב,אב,26,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַבָּא,אבא,5,0,60,,,,,,unresolved,No lexical entry yet.
אִבֵּד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבַד,אבד,2,0,60,,,,,,unresolved,No lexical entry yet.
אָבָד,אבד,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֵדָה,אבדה,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִבְּדָהּ,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבְדָה,אבדה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִבְּדָם,אבדמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֵדַת,אבדת,1,0,60,,,,,,unresolved,No lexical entry yet.
אִבְּדַתּוֹ,אבדתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אִבּוּד,אבוד,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוּקָה,אבוקה,2,93,60,claim-39e19ce90d2549e0,"torch, stick with a flaming end used as a source of light | torch",Wikidata Lexeme,L63618,CC0,safe_claims_min60,
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבוֹת,אבות,7,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבוֹתַי,אבותי,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵיהֶם,אבותיהמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתָיו,אבותיו,5,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתֵיכֶם,אבותיכמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵינוּ,אבותינו,20,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתָם,אבותמ,2,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבִי,אבי,10,0,60,,,,,,unresolved,No lexical entry yet.
אָבי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיהָ,אביה,3,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיהֶם,אביהמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיו,אביו,99,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךָ,אביכ,7,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיכֶן,אביכנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אבימלך,אבימלכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִין,אבינ,1,0,60,,,,,,unresolved,No lexical entry yet.
