"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishnah-kiddushin","Mishnah Kiddushin","tok-a2f88ccc0f6e","אַבָּא","אבא","Unresolved","","No lexical entry yet","true","4","Mishnah Kiddushin 3:6; Mishnah Kiddushin 4:2; Mishnah Kiddushin 4:14"
"mishnah-kiddushin","Mishnah Kiddushin","tok-909240d71633","אֲבִי","אבי","Unresolved","","No lexical entry yet","true","2","Mishnah Kiddushin 4:4"
"mishnah-kiddushin","Mishnah Kiddushin","tok-317fc4d231b6","אָבִיהָ","אביה","Unresolved","","No lexical entry yet","true","2","Mishnah Kiddushin 4:4"
"mishnah-kiddushin","Mishnah Kiddushin","tok-85cd1eef6387","אָבִיו","אביו","Unresolved","","No lexical entry yet","true","2","Mishnah Kiddushin 4:2"
"mishnah-kiddushin","Mishnah Kiddushin","tok-24dee2681e29","אוֹכֵל","אוכל","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:14"
"mishnah-kiddushin","Mishnah Kiddushin","tok-435f1cfdebbc","אוֹכֶלֶת","אוכלת","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 2:1"
"mishnah-kiddushin","Mishnah Kiddushin","tok-5cdd3204f2a2","אוֹסֵר","אוסר","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:3"
"mishnah-kiddushin","Mishnah Kiddushin","tok-e9aca514c4b7","אוֹתִי","אותי","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 3:11"
"mishnah-kiddushin","Mishnah Kiddushin","tok-fb6c6287c3de","אֲחוֹתֵךְ","אחותכ","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 3:5"
"mishnah-kiddushin","Mishnah Kiddushin","tok-133ef23b80f3","אֲחָיוֹת","אחיות","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 2:7"
"mishnah-kiddushin","Mishnah Kiddushin","tok-66420dcdf5a0","אַחֲרֵיהֶן","אחריהנ","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:5"
"mishnah-kiddushin","Mishnah Kiddushin","tok-e33920173d45","אֲלֵהֶם","אלהמ","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 3:4"
"mishnah-kiddushin","Mishnah Kiddushin","tok-0d640fefc040","אֱלִיעֶזֶר","אליעזר","Unresolved","","No lexical entry yet","true","6","Mishnah Kiddushin 1:4; Mishnah Kiddushin 1:9; Mishnah Kiddushin 3:13; Mishnah Kiddushin 4:3; Mishnah Kiddushin 4:7"
"mishnah-kiddushin","Mishnah Kiddushin","tok-4177e447bfd1","אֶלְעָזָר","אלעזר","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:14"
"mishnah-kiddushin","Mishnah Kiddushin","tok-e3ceac76306c","אִמָּהוֹת","אמהות","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:4"
"mishnah-kiddushin","Mishnah Kiddushin","tok-f7534dfbfcc2","אֲמִירָתוֹ","אמירתו","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 1:6"
"mishnah-kiddushin","Mishnah Kiddushin","tok-cfdf4e6c877f","אֻמָּנוּת","אמנות","Unresolved","","No lexical entry yet","true","7","Mishnah Kiddushin 4:14"
"mishnah-kiddushin","Mishnah Kiddushin","tok-f287aebdb1fa","אַנְטִיגְנוֹס","אנטיגנוס","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:5"
"mishnah-kiddushin","Mishnah Kiddushin","tok-430a9164f9dc","אֲסוּפִי","אסופי","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:3"
"mishnah-kiddushin","Mishnah Kiddushin","tok-04b011ac874f","אֲסוּפֵי","אסופי","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:2"
"mishnah-kiddushin","Mishnah Kiddushin","tok-bb732ae39cd9","אָסוּר","אסור","Unresolved","","No lexical entry yet","true","4","Mishnah Kiddushin 3:10; Mishnah Kiddushin 3:11; Mishnah Kiddushin 4:3"
"mishnah-kiddushin","Mishnah Kiddushin","tok-214345c1d13c","אֲסוּרוֹת","אסורות","Unresolved","","No lexical entry yet","true","2","Mishnah Kiddushin 3:9"
"mishnah-kiddushin","Mishnah Kiddushin","tok-00bd1e52782a","אִשְׁתְּךָ","אשתכ","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 3:5"
"mishnah-kiddushin","Mishnah Kiddushin","tok-3679bc858c41","בְּאַבְרָהָם","באברהמ","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 4:14"
"mishnah-kiddushin","Mishnah Kiddushin","tok-bf18d4c8cb2f","בְאַחַת","באחת","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 2:1"
"mishnah-kiddushin","Mishnah Kiddushin","tok-1dedd3d60261","בְּאַחַת","באחת","Unresolved","","No lexical entry yet","true","1","Mishnah Kiddushin 2:1"
