clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,7,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,38,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,13,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,4,0,60,,,,,,unresolved,No lexical entry yet.
א״ו,א״ו,7,0,60,,,,,,unresolved,No lexical entry yet.
א״ז,א״ז,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ח,א״ח,4,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,35,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,4,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,13,0,60,,,,,,unresolved,No lexical entry yet.
א״ר,א״ר,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ש,א״ש,2,0,60,,,,,,unresolved,No lexical entry yet.
אא״כ,אא״כ,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אב״ד,אב״ד,10,0,60,,,,,,unresolved,No lexical entry yet.
אב״ח,אב״ח,5,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבאר,אבאר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבדתו,אבדתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוהו,אבוהו,14,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבטליון,אבטליונ,2,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,6,0,60,,,,,,unresolved,No lexical entry yet.
אביא,אביא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבידת,אבידת,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,42,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,11,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,187,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אברר,אברר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבתרי׳,אבתרי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אבתריה,אבתריה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגב,אגב,1,0,60,,,,,,unresolved,No lexical entry yet.
אגדה,אגדה,5,0,60,,,,,,unresolved,No lexical entry yet.
אגוזים,אגוזימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אגמרי׳,אגמרי׳,2,0,60,,,,,,unresolved,No lexical entry yet.
אגרין,אגרינ,1,0,60,,,,,,unresolved,No lexical entry yet.
אדון,אדונ,2,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוני,אדוני,2,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוניו,אדוניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אדונינו,אדונינו,1,0,60,,,,,,unresolved,No lexical entry yet.
אדוננו,אדוננו,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדם,אדמ,67,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדער,אדער,1,0,60,,,,,,unresolved,No lexical entry yet.
אדעתי׳,אדעתי׳,2,0,60,,,,,,unresolved,No lexical entry yet.
