work_id,units,c0_rows,parsed_units,landed_law_units,pending_law_units,unparsed_units,parse_laws,max_chapter,coordinate_collisions,y_state
"ari/etz-chaim",353,386085,0,0,0,353,"",0,0,"UNPARSED_TYPED"
"ari/pri-etz-chaim",589,52461,0,0,0,589,"",0,0,"UNPARSED_TYPED"
"ari/sefer-etz-chaim",7,1925,0,0,0,7,"",0,0,"UNPARSED_TYPED"
"ari/shaar-hagilgulim",854,91333,854,854,0,0,"CHAPTER_SECTION",40,0,"FULLY_PARSED_LANDED_LAW"
"ari/shaar-hahakdamot",93,45698,0,0,0,93,"",0,0,"UNPARSED_TYPED"
"ari/shaar-hakavanot",366,61771,0,0,0,366,"",0,0,"UNPARSED_TYPED"
"ari/shaar-hamitzvot",298,59267,0,0,0,298,"",0,0,"UNPARSED_TYPED"
"ari/shaar-hapesukim",2051,119817,0,0,0,2051,"",0,0,"UNPARSED_TYPED"
"ari/shaar-maamarei-rashbi",585,163324,0,0,0,585,"",0,0,"UNPARSED_TYPED"
"ari/shaar-maamarei-razal",103,18490,0,0,0,103,"",0,0,"UNPARSED_TYPED"
"ari/shaar-ruach-hakodesh",22,4600,0,0,0,22,"",0,0,"UNPARSED_TYPED"
"ari/shaarei-kedusha",66,3389,0,0,0,66,"",0,0,"UNPARSED_TYPED"
"chasidut/agra-dekala",4484,483845,0,0,0,4484,"",0,0,"UNPARSED_TYPED"
"chasidut/arvei-nachal",3393,458579,0,0,0,3393,"",0,0,"UNPARSED_TYPED"
"chasidut/avodat-yisrael",739,153405,0,0,0,739,"",0,0,"UNPARSED_TYPED"
"chasidut/baal-shem-tov",1715,143027,0,0,0,1715,"",0,0,"UNPARSED_TYPED"
"chasidut/bat-ayin",74,208573,0,0,0,74,"",0,0,"UNPARSED_TYPED"
"chasidut/beit-aharon",2388,220983,0,0,0,2388,"",0,0,"UNPARSED_TYPED"
"chasidut/beit-yisrael-ruzhin",125,71194,0,0,0,125,"",0,0,"UNPARSED_TYPED"
"chasidut/ben-porat-yosef",14,122733,0,0,0,14,"",0,0,"UNPARSED_TYPED"
"chasidut/bepardes-hachasidut-vehakabbalah",1031,84509,0,0,0,1031,"",0,0,"UNPARSED_TYPED"
"chasidut/bnei-machshava-tova",52,14274,0,0,0,52,"",0,0,"UNPARSED_TYPED"
"chasidut/bnei-yissaschar",2100,371641,0,0,0,2100,"",0,0,"UNPARSED_TYPED"
"chasidut/chanah-ariel",128,413733,0,0,0,128,"",0,0,"UNPARSED_TYPED"
"chasidut/chayei-moharan",613,96619,613,0,613,0,"VARIANT_A_DOUBLED",615,0,"FULLY_PARSED_PENDING_LAW"
"chasidut/chayyim-vachesed",706,113779,674,0,674,32,"VARIANT_A_DOUBLED",674,0,"PARTIAL"
"chasidut/chovat-hatalmidim",18,44123,13,0,13,5,"VARIANT_A_DOUBLED",13,0,"PARTIAL"
"chasidut/darkhei-yesharim",124,8052,0,0,0,124,"",0,0,"UNPARSED_TYPED"
"chasidut/degel-machaneh-ephraim",875,147181,0,0,0,875,"",0,0,"UNPARSED_TYPED"
"chasidut/derekh-mitzvotekha",133,234226,0,0,0,133,"",0,0,"UNPARSED_TYPED"
"chasidut/divrei-chalomot",34,10088,34,34,0,0,"CHAPTER_SECTION",27,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/divrei-emet",561,80043,0,0,0,561,"",0,0,"UNPARSED_TYPED"
"chasidut/divrei-soferim",64,27225,64,64,0,0,"CHAPTER_SECTION",38,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/dover-tzedek",331,124010,0,0,0,331,"",0,0,"UNPARSED_TYPED"
"chasidut/esh-kodesh",93,57820,0,0,0,93,"",0,0,"UNPARSED_TYPED"
"chasidut/et-haochel",18,5020,18,18,0,0,"CHAPTER_SECTION",16,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/hakhsharat-haavrekhim",14,46488,14,0,14,0,"VARIANT_A_DOUBLED",14,0,"FULLY_PARSED_PENDING_LAW"
"chasidut/imrei-shefer",22,18977,0,0,0,22,"",0,0,"UNPARSED_TYPED"
"chasidut/irin-kadishin",56,40439,0,0,0,56,"",0,0,"UNPARSED_TYPED"
"chasidut/irin-kadishin-tinyana",35,17245,0,0,0,35,"",0,0,"UNPARSED_TYPED"
"chasidut/irin-kadishin-tlita-a",60,28154,0,0,0,60,"",0,0,"UNPARSED_TYPED"
"chasidut/kedushat-levi",1482,263031,0,0,0,1482,"",0,0,"UNPARSED_TYPED"
"chasidut/keter-shem-tov",3,312,0,0,0,3,"",0,0,"UNPARSED_TYPED"
"chasidut/ketonet-pasim",18,131399,0,0,0,18,"",0,0,"UNPARSED_TYPED"
"chasidut/kometz-haminchah",3,170,0,0,0,3,"",0,0,"UNPARSED_TYPED"
"chasidut/kuntres-hahitpa-alut",43,17708,0,0,0,43,"",0,0,"UNPARSED_TYPED"
"chasidut/likkutei-maamarim",171,100954,0,0,0,171,"",0,0,"UNPARSED_TYPED"
"chasidut/likutei-halakhot",5860,2265570,0,0,0,5860,"",0,0,"UNPARSED_TYPED"
"chasidut/likutei-moharan",7182,279178,0,0,0,7182,"",0,0,"UNPARSED_TYPED"
"chasidut/machshavot-charutz",210,100351,210,210,0,0,"CHAPTER_SECTION",21,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/maggid-devarav-leyaakov",277,57169,0,0,0,277,"",0,0,"UNPARSED_TYPED"
"chasidut/maor-vashemesh",917,370817,0,0,0,917,"",0,0,"UNPARSED_TYPED"
"chasidut/mekor-mayim-chayim-on-baal-shem-tov",1945,144278,0,0,0,1945,"",0,0,"UNPARSED_TYPED"
"chasidut/meor-einayim",734,179542,0,0,0,734,"",0,0,"UNPARSED_TYPED"
"chasidut/meshiv-hata-anah",1,18831,0,0,0,1,"",0,0,"UNPARSED_TYPED"
"chasidut/meshiv-tzedek",104,40889,0,0,0,104,"",0,0,"UNPARSED_TYPED"
"chasidut/mevo-hashearim",10,41217,10,0,10,0,"VARIANT_A_DOUBLED",10,0,"FULLY_PARSED_PENDING_LAW"
"chasidut/noam-elimelech",1,114,0,0,0,1,"",0,0,"UNPARSED_TYPED"
"chasidut/noam-elimelekh",1538,170107,0,0,0,1538,"",0,0,"UNPARSED_TYPED"
"chasidut/ohev-yisrael",699,175246,0,0,0,699,"",0,0,"UNPARSED_TYPED"
"chasidut/ohr-hameir",551,335801,0,0,0,551,"",0,0,"UNPARSED_TYPED"
"chasidut/ohr-lashamayim",58,129042,0,0,0,58,"",0,0,"UNPARSED_TYPED"
