"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-a1fc1532a6c1","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-91c8fc744c86","א״א","א״א","Unresolved","","No lexical entry yet","true","3","Ohr Sameach on Mishneh Torah, Neighbors 7:7:1; Ohr Sameach on Mishneh Torah, Neighbors 8:3:1; Ohr Sameach on Mishneh Torah, Neighbors 11:7:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-1eb1d11e558c","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 4:10:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-b8dac33e4764","א״צ","א״צ","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 7:7:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-777393f72f3b","א״ש","א״ש","Unresolved","","No lexical entry yet","true","4","Ohr Sameach on Mishneh Torah, Neighbors 4:10:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-286587bd07f1","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-fcda4391ffbd","אביה","אביה","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 1:5:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-bbc5207ffe94","אביי","אביי","Unresolved","","No lexical entry yet","true","3","Ohr Sameach on Mishneh Torah, Neighbors 6:12:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-27d056ed974f","אגוד","אגוד","Unresolved","","No lexical entry yet","true","3","Ohr Sameach on Mishneh Torah, Neighbors 1:3:1; Ohr Sameach on Mishneh Torah, Neighbors 1:5:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-030a5bda8efc","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","4","Ohr Sameach on Mishneh Torah, Neighbors 1:3:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-053a0eef3029","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 1:5:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-4361848db7e4","אודי","אודי","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 2:16:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-27f1443575bb","אוחרי","אוחרי","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-be69cf81a118","אוכל","אוכל","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-2621e2083e03","אולי","אולי","Unresolved","","No lexical entry yet","true","2","Ohr Sameach on Mishneh Torah, Neighbors 4:10:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-915f8f2905d7","אולם","אולמ","Unresolved","","No lexical entry yet","true","5","Ohr Sameach on Mishneh Torah, Neighbors 1:3:1; Ohr Sameach on Mishneh Torah, Neighbors 3:5:1; Ohr Sameach on Mishneh Torah, Neighbors 5:9:1; Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-80db5688e696","אומנות","אומנות","Unresolved","","No lexical entry yet","true","6","Ohr Sameach on Mishneh Torah, Neighbors 6:12:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-5586acc0fa51","אומניות","אומניות","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 6:12:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-d9559e3388c8","אוסיף","אוסיפ","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 1:5:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-e267a6bbff5a","אוקים","אוקימ","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-3c344681a793","אורכתי","אורכתי","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-5019ed7255d9","אזיל","אזיל","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-a6a3b0585a1b","אזלא","אזלא","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 1:3:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-867694e33b8a","אחרינא","אחרינא","Unresolved","","No lexical entry yet","true","2","Ohr Sameach on Mishneh Torah, Neighbors 6:12:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-4531248e5e01","אחרת","אחרת","Unresolved","","No lexical entry yet","true","13","Ohr Sameach on Mishneh Torah, Neighbors 6:12:1; Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-86ceeefac369","אטו","אטו","Unresolved","","No lexical entry yet","true","2","Ohr Sameach on Mishneh Torah, Neighbors 3:2:1; Ohr Sameach on Mishneh Torah, Neighbors 4:10:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-8a057efef03d","אטול","אטול","Unresolved","","No lexical entry yet","true","4","Ohr Sameach on Mishneh Torah, Neighbors 1:5:1; Ohr Sameach on Mishneh Torah, Neighbors 12:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-8e0c37984583","איבד","איבד","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-e796f96a071f","איגוד","איגוד","Unresolved","","No lexical entry yet","true","7","Ohr Sameach on Mishneh Torah, Neighbors 1:3:1; Ohr Sameach on Mishneh Torah, Neighbors 1:5:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-7348ccd6b7c4","אידי","אידי","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 2:16:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-f88bf45e28da","איהו","איהו","Unresolved","","No lexical entry yet","true","2","Ohr Sameach on Mishneh Torah, Neighbors 2:16:1; Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-81a4fe6d3b93","איכא","איכא","Unresolved","","No lexical entry yet","true","7","Ohr Sameach on Mishneh Torah, Neighbors 1:5:1; Ohr Sameach on Mishneh Torah, Neighbors 3:5:1; Ohr Sameach on Mishneh Torah, Neighbors 4:10:1; Ohr Sameach on Mishneh Torah, Neighbors 6:12:1; Ohr Sameach on Mishneh Torah, Neighbors 11:7:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-335713dadb1c","איכפת","איכפת","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 3:5:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-2bd312c05fb9","אילנות","אילנות","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 1:4:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-94881d10b165","אימת","אימת","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-24b25fc75d47","איני","איני","Unresolved","","No lexical entry yet","true","3","Ohr Sameach on Mishneh Torah, Neighbors 6:12:1; Ohr Sameach on Mishneh Torah, Neighbors 8:3:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-5754558a2990","אינש","אינש","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 11:7:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-8a5cd943bdd8","איתא","איתא","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-e3c2d543c517","אכיל","אכיל","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-409a50fed119","אכתי","אכתי","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 4:10:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-c9c8f522ea08","אליבא","אליבא","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 1:3:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-31e110676b68","אליביה","אליביה","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 4:10:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-b9090698edcd","אלים","אלימ","Unresolved","","No lexical entry yet","true","1","Ohr Sameach on Mishneh Torah, Neighbors 13:1:1"
"ohr-sameach-on-mishneh-torah-neighbors","Ohr Sameach on Mishneh Torah, Neighbors","tok-795cfeab5b6c","אלמא","אלמא","Unresolved","","No lexical entry yet","true","2","Ohr Sameach on Mishneh Torah, Neighbors 1:4:1; Ohr Sameach on Mishneh Torah, Neighbors 6:12:1"
