"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-771e425fb802","א׳","א׳","Unresolved","","No lexical entry yet","true","42","Boaz on Pirkei Avot 1:1; Boaz on Pirkei Avot 2:1; Boaz on Pirkei Avot 2:2; Boaz on Pirkei Avot 2:3; Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-5f4cb7e544d3","א״א","א״א","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-fd1c623f5802","א״ע","א״ע","Unresolved","","No lexical entry yet","true","4","Boaz on Pirkei Avot 1:1; Boaz on Pirkei Avot 4:1; Boaz on Pirkei Avot 4:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-881a7092e28f","א״ת","א״ת","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 2:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-b7b80889e8ad","אב״ד","אב״ד","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 2:3"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-92e1f89cfd80","אבה","אבה","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 4:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-dbb589b5d134","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-3e008fa24f27","אבותיהן","אבותיהנ","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-38bae320c0b3","אבטליון","אבטליונ","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 2:3"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-717418a72aad","אבי","אבי","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 4:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-19ff6dff4908","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","2","Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-9664b6ea90ee","אביו","אביו","Unresolved","","No lexical entry yet","true","9","Boaz on Pirkei Avot 2:3; Boaz on Pirkei Avot 3:1; Boaz on Pirkei Avot 4:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-e588c00da9f9","אביי","אביי","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 2:3"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-af1b9e30f6e1","אברי","אברי","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-c66d5e892ee4","אבריהם","אבריהמ","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-564566f9e112","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 5:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-230d3a774660","אגדות","אגדות","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 2:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-fa1aa367f0bf","אדה״ר","אדה״ר","Unresolved","","No lexical entry yet","true","4","Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-65db244062ea","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 5:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-c9092f6463b7","אה״ע","אה״ע","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-b2b0608591a5","אהבו","אהבו","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 2:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-c9d6f32877d8","אוה״ע","אוה״ע","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:1"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-0746ee178e60","אוהרווערק","אוהרווערק","Unresolved","","No lexical entry yet","true","1","Boaz on Pirkei Avot 3:2"
"boaz-on-pirkei-avot","Boaz on Pirkei Avot","tok-0a816b78088a","אויבים","אויבימ","Unresolved","","No lexical entry yet","true","2","Boaz on Pirkei Avot 4:1"
