"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-84c184e94ec1","א׳","א׳","Unresolved","","No lexical entry yet","true","4","The Beginning of Wisdom 1:14; The Beginning of Wisdom 1:16; The Beginning of Wisdom 1:19"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-233b55adbdfa","אבא","אבא","Unresolved","","No lexical entry yet","true","2","The Beginning of Wisdom 1:28; The Beginning of Wisdom 1:29"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-9745a03e5600","אבוא","אבוא","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:6"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-de3cd90f08f1","אדני","אדני","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:4"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-a9dd94c1d382","אדרא","אדרא","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:20"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-4a386c86a0fc","אהב","אהב","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:6"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-173b96ba45e2","אהי״ה","אהי״ה","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:25"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-ac8685cc215d","אולם","אולמ","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:3"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-a345f6e10b7f","אחון""","אחונ""","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:6"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-92069ff565b8","איברי","איברי","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:33"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-8659bc126dd2","אימא","אימא","Unresolved","","No lexical entry yet","true","2","The Beginning of Wisdom 1:28; The Beginning of Wisdom 1:29"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-2a984ff975a5","אמיתית","אמיתית","Unresolved","","No lexical entry yet","true","2","The Beginning of Wisdom 1:10"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-ecaab446c14b","אמרי","אמרי","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:2"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-ca318bd2b57e","אמרים","אמרימ","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:5"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-380828eed5a0","אנפין","אנפינ","Unresolved","","No lexical entry yet","true","6","The Beginning of Wisdom 1:13; The Beginning of Wisdom 1:22; The Beginning of Wisdom 1:29"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-11cf3ebb3559","אסור","אסור","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:2"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-ba1f631e9800","אעפ״י","אעפ״י","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:6"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-bf9e5e6ac273","אפים","אפימ","Unresolved","","No lexical entry yet","true","3","The Beginning of Wisdom 1:13"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-892c1a73b351","אקוה","אקוה","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:5"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-67f88f7ed8ec","ארך","ארכ","Unresolved","","No lexical entry yet","true","6","The Beginning of Wisdom 1:13; The Beginning of Wisdom 1:22; The Beginning of Wisdom 1:29"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-3fdb5ec373ed","ב׳","ב׳","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:19"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-33cf6996820e","ב׳׳ה","ב׳׳ה","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:4"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-40d4a39ce608","ב״ה","ב״ה","Unresolved","","No lexical entry yet","true","3","The Beginning of Wisdom 1:2"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-f3eef4560631","באורך","באורכ","Unresolved","","No lexical entry yet","true","2","The Beginning of Wisdom 1:2; The Beginning of Wisdom 1:15"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-ddc436604e11","באיבריו","באיבריו","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:32"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-3e3d676aa931","באריכות","באריכות","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:19"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-84fa00fe68f0","בב״ק","בב״ק","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:13"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-03b5609a2e1d","בבחינת","בבחינת","Unresolved","","No lexical entry yet","true","9","The Beginning of Wisdom 1:2; The Beginning of Wisdom 1:25; The Beginning of Wisdom 1:26; The Beginning of Wisdom 1:27; The Beginning of Wisdom 1:28"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-c20d5f8b5042","בגיהנם","בגיהנמ","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:9"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-3ffe461a3c47","בדין","בדינ","Unresolved","","No lexical entry yet","true","2","The Beginning of Wisdom 1:10; The Beginning of Wisdom 1:21"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-29aacbefaf04","בהג״ה","בהג״ה","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom, Introduction:4"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-a986fcf9c9e2","בהודעה","בהודעה","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:33"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-ff8fd5fe37af","בהספרים","בהספרימ","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:1"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-b7bb4a6feb2f","בהסתר","בהסתר","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:23"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-aab3eec9cfb9","בהעלותך","בהעלותכ","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:21"
"the-beginning-of-wisdom","The Beginning of Wisdom","tok-f65d6b8e8151","בהתחלת","בהתחלת","Unresolved","","No lexical entry yet","true","1","The Beginning of Wisdom 1:27"
