clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,7,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,137,0,60,,,,,,unresolved,No lexical entry yet.
א׳'ל,א׳׳ל,1,0,60,,,,,,unresolved,No lexical entry yet.
א״א,א״א,48,0,60,,,,,,unresolved,No lexical entry yet.
א״ב,א״ב,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ד,א״ד,8,0,60,,,,,,unresolved,No lexical entry yet.
א״ה,א״ה,3,0,60,,,,,,unresolved,No lexical entry yet.
א״ו,א״ו,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ז,א״ז,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ח,א״ח,4,0,60,,,,,,unresolved,No lexical entry yet.
א״י,א״י,5,0,60,,,,,,unresolved,No lexical entry yet.
א״כ,א״כ,36,99,60,claim-69ddb95dde192fc2,if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
א״ל,א״ל,16,0,60,,,,,,unresolved,No lexical entry yet.
א״ע,א״ע,1,0,60,,,,,,unresolved,No lexical entry yet.
א״צ,א״צ,11,0,60,,,,,,unresolved,No lexical entry yet.
אאבוה,אאבוה,1,0,60,,,,,,unresolved,No lexical entry yet.
אאמ״ו,אאמ״ו,1,0,60,,,,,,unresolved,No lexical entry yet.
אב,אב,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבא,אבא,7,0,60,,,,,,unresolved,No lexical entry yet.
אבאר,אבאר,2,0,60,,,,,,unresolved,No lexical entry yet.
אבדות,אבדות,1,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,8,0,60,,,,,,unresolved,No lexical entry yet.
אבוהו,אבוהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבחר,אבחר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבי׳,אבי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אבידת,אבידת,1,0,60,,,,,,unresolved,No lexical entry yet.
אבידתן,אבידתנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,8,0,60,,,,,,unresolved,No lexical entry yet.
אביזריהו,אביזריהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אביזרייהו,אביזרייהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אביי,אביי,7,0,60,,,,,,unresolved,No lexical entry yet.
אביך,אביכ,4,0,60,,,,,,unresolved,No lexical entry yet.
אבינו,אבינו,5,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אבל,אבל,318,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבן,אבנ,11,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבני,אבני,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אבר,אבר,1,93,60,claim-b1b4f460d891c843,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,safe_claims_min60,
אברהם,אברהמ,4,93,60,claim-28aa65d98e7cc783,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,safe_claims_min60,
אברר,אברר,1,0,60,,,,,,unresolved,No lexical entry yet.
אבתרי׳,אבתרי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אבתריה,אבתריה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגב,אגב,1,0,60,,,,,,unresolved,No lexical entry yet.
אגדה,אגדה,1,0,60,,,,,,unresolved,No lexical entry yet.
אגדות,אגדות,5,0,60,,,,,,unresolved,No lexical entry yet.
אגזור,אגזור,6,0,60,,,,,,unresolved,No lexical entry yet.
אגמי,אגמי,7,0,60,,,,,,unresolved,No lexical entry yet.
אדבר,אדבר,1,0,60,,,,,,unresolved,No lexical entry yet.
אדומה,אדומה,1,93,60,claim-91ed238e2d3c7cee,red,Wikidata Lexeme,L63672,CC0,safe_claims_min60,
אדון,אדונ,2,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדוניו,אדוניו,4,0,60,,,,,,unresolved,No lexical entry yet.
אדונינו,אדונינו,2,0,60,,,,,,unresolved,No lexical entry yet.
אדוננו,אדוננו,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אדידי׳,אדידי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,83,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדנ״י,אדנ״י,5,0,60,,,,,,unresolved,No lexical entry yet.
אדני,אדני,11,0,60,,,,,,unresolved,No lexical entry yet.
אדע,אדע,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדעתא,אדעתא,1,0,60,,,,,,unresolved,No lexical entry yet.
אדעתי׳,אדעתי׳,3,0,60,,,,,,unresolved,No lexical entry yet.
אדר׳,אדר׳,2,0,60,,,,,,unresolved,No lexical entry yet.
אדר״י,אדר״י,4,0,60,,,,,,unresolved,No lexical entry yet.
אדר״ש,אדר״ש,1,0,60,,,,,,unresolved,No lexical entry yet.
אדרבא,אדרבא,9,0,60,,,,,,unresolved,No lexical entry yet.
אדרבה,אדרבה,3,0,60,,,,,,unresolved,No lexical entry yet.
אדרבנן,אדרבננ,7,0,60,,,,,,unresolved,No lexical entry yet.
אדרוש,אדרוש,2,0,60,,,,,,unresolved,No lexical entry yet.
אה״נ,אה״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
אה״ר,אה״ר,11,0,60,,,,,,unresolved,No lexical entry yet.
