"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-a66795a46006","אביה","אביה","Unresolved","","No lexical entry yet","true","5","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1; Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:8:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-322b85647fcb","אונס","אונס","Unresolved","","No lexical entry yet","true","3","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-ef57877939cc","אזהרות","אזהרות","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 3:13:2"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-cd97fc601da4","איברים","איברימ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 3:20:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-5deb865e6d61","איסורי","איסורי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-360e3eb49d99","אלמא","אלמא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-45a3b4f2b1e7","אלפס","אלפס","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 1:14:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-a27ddd387c2d","אסרה","אסרה","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-0f33216007ed","ארוס","ארוס","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:8:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-b59d004bb8b3","ארוסה","ארוסה","Unresolved","","No lexical entry yet","true","13","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 1:5:1; Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 1:10:1; Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:1:1; Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1; Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:5:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-80b3cb74f68f","ארוסתו","ארוסתו","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:8:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-9895cfadcfe0","אשי","אשי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 4:17:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-cac30874a907","אשם","אשמ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 4:14:2"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-7fc653aafe88","אשתו","אשתו","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 1:9:1; Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 3:18:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-8411ffe1ce46","ב׳","ב׳","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 1:14:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-2d81fe6767ab","ב״ש","ב״ש","Unresolved","","No lexical entry yet","true","3","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1"
"migdal-oz-on-mishneh-torah-woman-suspected-of-infidelity","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity","tok-3d5cdd108186","באדר","באדר","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Woman Suspected of Infidelity 4:1:1"
