clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א״ל,א״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
אבא,אבא,3,0,60,,,,,,unresolved,No lexical entry yet.
אבוה,אבוה,1,0,60,,,,,,unresolved,No lexical entry yet.
אבי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אביה,אביה,1,0,60,,,,,,unresolved,No lexical entry yet.
אביהם,אביהמ,5,0,60,,,,,,unresolved,No lexical entry yet.
אביהן,אביהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אביו,אביו,7,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,8,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדאביי,אדאביי,1,0,60,,,,,,unresolved,No lexical entry yet.
אדם,אדמ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אדרבה,אדרבה,2,0,60,,,,,,unresolved,No lexical entry yet.
אהדרוה,אהדרוה,2,0,60,,,,,,unresolved,No lexical entry yet.
אהייא,אהייא,1,0,60,,,,,,unresolved,No lexical entry yet.
או,או,12,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אודייני,אודייני,3,0,60,,,,,,unresolved,No lexical entry yet.
אומר,אומר,21,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אות,אות,3,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אותה,אותה,4,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותו,אותו,1,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אותן,אותנ,3,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אח,אח,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחא,אחא,1,0,60,,,,,,unresolved,No lexical entry yet.
אחד,אחד,11,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אחוך,אחוכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אחי,אחי,1,0,60,,,,,,unresolved,No lexical entry yet.
